"Game Title";"Console";"Year";"Genre";"Game_Company";"Type";"Console_Company";"Console Release Year";"Console Disco Year";"Consoles sold (million)";"North America_Sales";"Europe_Sales";"Japan_Sales";"Global_Sales"
"Allied General";"PS";1996;"Strategy";"SSI";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Fire ProWrestling G";"PS";1999;"Fighting";"Human Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Kamen Rider: Battride War";"PS3";2013;"Action";"Namco Bandai Games";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Binary Domain";"XBOX 360";2012;"Action";"Sega";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"IL-2 Sturmovik: Birds of Prey";"PSP";2009;"Simulation";"505 Games";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Farming Simulator 2015";"XBOX One";2015;"Simulation";"Koch Media";"Home";"Microsoft";2013;2020;58.5;4.52;2.09;0.01;7.3
"Armored Core: For Answer";"PS3";2008;"Simulation";"Ubisoft";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Mahjong: Journey Quest for Tikal";"Nintendo DS";2008;"Puzzle";"Rondomedia";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"uDraw Studio: Instant Artist";"Nintendo Wii";2011;"Misc";"THQ";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Naruto: Ninja Destiny";"Nintendo DS";2006;"Fighting";"Namco Bandai Games";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"GunGriffon";"Sega Saturn";1995;"Simulation";"Sega";"Home";"Sega";1994;2000;9.26;0.34;0.26;1.3;1.93
"SingStar Pop Vol.2";"PS2";2008;"Misc";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"SNK Arcade Classics Vol. 1";"PS2";2008;"Misc";"Ignition Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Darkstalkers 3";"PS";1998;"Fighting";"Capcom";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"SpongeBob's Surf & Skate Roadtrip";"XBOX 360";2011;"Action";"THQ";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Frequency";"PS2";2001;"Misc";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Death Jr.";"PSP";2005;"Platform";"Konami Digital Entertainment";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Cars: Race-O-Rama";"PS3";2009;"Racing";"THQ";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Inazuma Eleven Strikers 2012 Xtreme";"Nintendo Wii";2011;"Role-Playing";"Level 5";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"2002 FIFA World Cup";"XBOX";2002;"Sports";"Electronic Arts";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"Kan Colle Kai";"PlayStation Vita";2016;"Action";"Kadokawa Games";"Handheld";"Sony";2011;2019;15.0;0.28;0.79;0.87;2.25
"SpongeBob SquigglePants 3D";"Nintendo 3DS";2011;"Misc";"THQ";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Jampack: Summer 2003 (RP-T)";"PS2";2003;"Misc";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Monster 4x4: Stunt Racer";"Nintendo Wii";2009;"Racing";"Ubisoft";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Sudeki";"XBOX";2004;"Role-Playing";"Microsoft Game Studios";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
